TYPE,cash_old,cash_new,trade,asset_old,asset_new,price_old,price_new
SELL,0,1042.0598275942373,1042.0598275942373,0.67469072683343301,0,1553.099976,1544.5
BUY,1042.0598275942373,0,0.67559616391800237,0,0.00043800765043832735,1544.5,1542.4300539999999
SELL,0,1043.0664591225134,1043.0664591225134,0.67559616391800237,0,1542.4300539999999,1543.920044
None,1043.0664591225134,1043.0664591225134,0.0,0,0,1543.920044,1543.0
None,1043.0664591225134,1043.0664591225134,0.0,0,0,1543.0,1528.780029
BUY,1043.0664591225134,0,0.68661188338467438,0,0.00045197108418350285,1528.780029,1519.150024
SELL,0,1048.1061670017527,1048.1061670017527,0.68661188338467438,0,1519.150024,1526.48999
None,1048.1061670017527,1048.1061670017527,0.0,0,0,1526.48999,1543.0
None,1048.1061670017527,1048.1061670017527,0.0,0,0,1543.0,1550.459961
BUY,1048.1061670017527,0,0.67765336961666323,0,0.00043813699776851906,1550.459961,1546.670044
None,0,0,0.0,0.67765336961666323,0.67765336961666323,1546.670044,1537.7299800000001
SELL,0,1049.8205670051195,1049.8205670051195,0.67765336961666323,0,1537.7299800000001,1549.1999510000001
BUY,1049.8205670051195,0,0.67835834430908915,0,0.00043833209003184319,1549.1999510000001,1547.589966
None,0,0,0.0,0.67835834430908915,0.67835834430908915,1547.589966,1565.709961
SELL,0,1035.5886218303235,1035.5886218303235,0.67835834430908915,0,1565.709961,1526.6099850000001
None,1035.5886218303235,1035.5886218303235,0.0,0,0,1526.6099850000001,1518.2299800000001
BUY,1035.5886218303235,0,0.68422073033763608,0,0.00045206947812572015,1518.2299800000001,1513.530029
None,0,0,0.0,0.68422073033763608,0.68422073033763608,1513.530029,1520.530029
SELL,0,1039.3586848966911,1039.3586848966911,0.68422073033763608,0,1520.530029,1519.040039
None,1039.3586848966911,1039.3586848966911,0.0,0,0,1519.040039,1527.290039
None,1039.3586848966911,1039.3586848966911,0.0,0,0,1527.290039,1541.630005
None,1039.3586848966911,1039.3586848966911,0.0,0,0,1541.630005,1536.6999510000001
None,1039.3586848966911,1039.3586848966911,0.0,0,0,1536.6999510000001,1529.130005
BUY,1039.3586848966911,0,0.68629450858405494,0,0.00045316420534788273,1529.130005,1514.4499510000001
SELL,0,1031.0134040662258,1031.0134040662258,0.68629450858405494,0,1514.4499510000001,1502.290039
BUY,1031.0134040662258,0,0.68223009640330246,0,0.00045143729713194162,1502.290039,1511.23999
SELL,0,1043.7643282307297,1043.7643282307297,0.68223009640330246,0,1511.23999,1529.9300539999999
None,1043.7643282307297,1043.7643282307297,0.0,0,0,1529.9300539999999,1537.6099850000001
BUY,1043.7643282307297,0,0.67061866252265367,0,0.00043087254312091966,1537.6099850000001,1556.420044
None,0,0,0.0,0.67061866252265367,0.67061866252265367,1556.420044,1558.9399410000001
None,0,0,0.0,0.67061866252265367,0.67061866252265367,1558.9399410000001,1552.1800539999999
None,0,0,0.0,0.67061866252265367,0.67061866252265367,1552.1800539999999,1570.98999
SELL,0,1069.1472285123643,1069.1472285123643,0.67061866252265367,0,1570.98999,1594.2700199999999
None,1069.1472285123643,1069.1472285123643,0.0,0,0,1594.2700199999999,1593.2299800000001
BUY,1069.1472285123643,0,0.67110276179313433,0,0.00042125060503878385,1593.2299800000001,1593.119995
SELL,0,1074.2274401795894,1074.2274401795894,0.67110276179313433,0,1593.119995,1600.6899410000001
None,1074.2274401795894,1074.2274401795894,0.0,0,0,1600.6899410000001,1613.420044
None,1074.2274401795894,1074.2274401795894,0.0,0,0,1613.420044,1626.380005
None,1074.2274401795894,1074.2274401795894,0.0,0,0,1626.380005,1622.8199460000001
None,1074.2274401795894,1074.2274401795894,0.0,0,0,1622.8199460000001,1629.9300539999999
None,1074.2274401795894,1074.2274401795894,0.0,0,0,1629.9300539999999,1645.0699460000001
